Pos;Solution;Nombre_noeuds;Temps
GGOGXOGYWYYYRXWBRRRBGOXRBBWRGGWXYBWOWROOXBBOYYWRYXGOBW;;;
OBORXOGYWGGYGXWBRRRBGOXRBBWRGGWXYBWOWRYOXYBOYYWRYXGOBW;;;
OBORXWGGRGGYGXWBRRROWOXYBBWGRGBXYBWOWRYOXYBOYYWRYXGOBW;;;
OBORXWGGRGGYGXYBWYROWRXYRWWGRGBXYBWOWRYOXYBOYBORBXGOBW;;;
YYORXWGGROBYRXYBWYROWRXYRWWGRGBXYBWOWGGOXGBOYBORBXGOBW;;;
YYORXWGGROBYRXYBWYROWRXYRWWGRGBXGBBWWGGWXGOYYBORBXOOOB;;;
YWWRXGGGROBYRXYBWYROWRXYRWWGYOBXWBBWGGGRXGOYYBORBXOOOB;;;
YWWRXGGGROBYRXYBWYROWRXORORGYOWXWWYWGGGRXGOYYBBBBXBOOB;;;
YWWRXGGGROBYRXYBWYROWRXYRWWGYOBXWBBWGGGRXGOYYBORBXOOOB;;;
YWWRXGGGROBYRXYBWYROWRXYRWWGYOBXYBROGGGOXGBOYBORBXWOBW;;;
YWWRXBGYGOBYRXYBWYRGRRXGRWWWYOOXYBROGGGOXGBOYBORBXWOBW;;;
YYORXYGYGOBYRXYBWYRGRRXGRWWWOGOXGBROWBGWXGBOYBORBXWOBW;;;
YYORXYGYGOBYBXYOBYRGRRXGRWWWOGOXGBROWBGWXWBRBBOROXWYGW;;;
YYORXOGOWOBYBXYOBYRYGRXYRWWRGGGXGBROWBGWXWBRBBOROXWYGW;;;
YYORXOGOWOBYBXYOBYRYGRXORWRRGGWXGWYOWBGWXWBRBBRBOXGYGW;;;
OBOBXOGOWGWYBXYOBYRYGRXORWRRGGWXGWYOWRYWXYBRBBRBOXGYGW;;;
OGGBXGGOWGWYBXYOBYRYGRXORWRRWWWXRWYOOOYBXYBRBBRBOXGYGW;;;
OGGYXGRRWGOGBXBOBYYYGWXORWRRWWWXRWYOOOYBXYBRBBRBOXGYGW;;;
YYGOXGRRWOGGYXBOBYYYGWXORWRRWWWXRWYOOBGBXOBRBBRBOXGYGW;;;
YYGOXGRRWOGGYXWOWRYYGRXOBORRWWWXRWYOOBGBXOBRBYBBBXGYGW;;;
YYGOXGRRWOGGYXOORBYYGBXOYBRRWWWXRWYOOBGBXOBRBRWBWXGYGW;;;
YYGOXGRRWOGGWXOYGBYYGBXOYBRRWWWXRWYOOBGBXRBYORWBRXGBOW;;;
YYGOXGRRWOGGWXOYGBYYGBXOYBRRWWWXGWOWOBGYXRORORWBRXYBBB;;;
YYGOXGRRWOGGRXOBBBYYGBXOYBRRWWWXGWOWOBGYXGOWYRWBRXYORB;;;
YYGOXYROGOGGRXOBBBYWRBXWYBRWRWGXGWOWOBGYXGOWYRWBRXYORB;;;
YYGOXYROGOGGRXOBBBYWRBXWYBRWRWGXWWYOOBGRXGBYYRWBRXGOOW;;;
YYGOXYROGOGGRXRBWRYWRBXWBORWRWGXWWYOOBGRXGBYYYBBBXGOOW;;;
YYGOXWRWROGGRXRBWRYGWBXRBORGOWYXWWYOOBGRXGBYYYBBBXGOOW;;;
YYGOXWRWROGGRXRBWRYGWBXRBORGOWYXGWOWOBGYXGOWYYBBBXYORB;;;
YYOOXBRWROGGRXRBWRYGWBXRBORGYGYXWWOWWGGOXGOWYYBBBXYORB;;;
YYOOXBRWROGGWXRYGRYGWBXRBORGYGYXWWOWWGGOXROBOYBBRXYBWB;;;
YYOOXBRWROGGBXRORRYGWBXRBORGYGYXWWOWWGGOXWORBYBBWXYYGB;;;
GWOGXBRWRYYGOXRORRYGWBXRBORGYGYXWWOWWBOOXGORBYBBWXYYGB;;;
GWOGXBRWRYYGOXOOBBYGWBXRYWRGYGYXWWOWWBOOXGORBRRBRXYYGB;;;
GWOGXBRWRYYGOXOOBBYGWBXRYWRGYGYXRWOOWBOGXGBYBRRBRXWYOW;;;
GWOGXBRWRYYGOXOOBBYGWBXOYYWGYGWXRBROWBOGXGBYBRRRRXWYOW;;;
GWOGXBRWRYYGOXOOBBYGWBXOYYWGYGWXYBGBWBOOXGWWBRRRRXRYRO;;;
GWOGXBRWRYYGOXRORRYGWBXOBOWGYGWXYBGBWBOOXGWWBYBRYXRYRO;;;
GWOGXBRWRYYGOXOOBBYGWBXOYYWGYGWXYBGBWBOOXGWWBRRRRXRYRO;;;
GWOGXBRWRYYGOXOOBBYGWBXOYYWGYGWXRBROWBOGXGBYBRRRRXWYOW;;;
GWOGXBRWRYYGOXOOBBYGWBXOYYWGYGWXWBOWWBORXGORBRRRRXYYGB;;;
GWOGXGROWYYGOXOOBBYWGBXYYYWRWGBXWBOWWBORXGORBRRRRXYYGB;;;
GWOGXGROWYYGOXRORRYWGBXYBOWRWGBXWBOWWBORXGORBYBRYXYYGB;;;
GWOGXGROWYYGOXYOBYYWGRXYRRWRWGBXWBOWWBORXGORBBBROXYYGB;;;
GWOGXGROWYYGOXRORRYWGBXYBOWRWGBXWBOWWBORXGORBYBRYXYYGB;;;
GWORXGGYWYBYOXWORRRGGOXYBOWRWGBXWBOWWBORXGORBYBRYXYYGB;;;
GWORXGGYWYBYYXWYGRRGGOXYBOWRWGBXWBOWWBORXROOOYBRRXYBGB;;;
GWORXBGWRYBYYXWYGRRGWOXYBOWGYGGXWBOWWBORXROOOYBRRXYBGB;;;
GWORXBGWRYBYYXRYBYRGWGXYRWWGYGGXWBOWWBORXROOOBOROXYBGB;;;
GWORXBGWRYBYYXWYGRRGWOXYBOWGYGGXWBOWWBORXROOOYBRRXYBGB;;;
OROBXBGWRGWYRXWYGRRGWOXYBOWGYGGXWBOWWYYRXBOOOYBRRXYBGB;;;
OROBXBGWRGWYRXWYGRRGWOXYBOWGYGGXOBROWYYGXBBYOYBRRXWBOW;;;
GWORXBGWRYBYYXWYGRRGWOXYBOWGYGGXOBROWBOGXRBYOYBRRXWBOW;;;
GWOGXBRORYWGYXRYGRYWWBXYBOWGYGGXOBROWBOGXRBYOYBRRXWBOW;;;
GWOGXBRORYWGYXRYBYYWWGXYRRWGYGGXOBROWBOGXRBYOBBROXWBOW;;;
GGWGXBRORYWGYXRYBYYWWGXYRRWGWOGXBBROGOOYXRBYOBBROXWBOW;;;
GGWGXBRORYWGYXRYBYYWWGXRRGBGWOWXBRBOGOOYXRBYOBYWOXRBOW;;;
YWWYXBRORORGOXRYBYYWWGXRRGBGWOWXBRBOGGGYXGBYOBYWOXRBOW;;;
YWWYXBRORORGOXRYBYYWWGXRRGBGWOWXYRYBGGGOXGWROBYWOXBBBO;;;
ORWOXBRORGGGGXRYBYYWWGXRRGBGWOWXYRYBGYYOXWWROBYWOXBBBO;;;
ORWOXBRORGGGGXRYBYYWWGXYRBWGWOGXYBRBGYYOXWWROBYROXWBBO;;;
ORWOXBRORGGGGXOYYBYWWBXYYRWGWOGXYBRBGYYOXWWRORGRBXWBBO;;;
ORWWXBYBRGORGXOYYBGOWGXYYRWGWOGXYBRBGYYOXWWRORGRBXWBBO;;;
ORWWXBYBRGORGXOYYBGOWGXGYWRGWORXYWYBGYYOXWWRORRBBXGBBO;;;
ORWWXBYBRGORBXOBBBGOWGXGYWRGWORXYWYBGYYOXYWGYRRBRXGOWO;;;
ORWWXBYBRGORBXOBBBGOWGXGYWRGWORXGWOWGYYWXYOGYRRBRXYOYB;;;
ORWWXBYBRGORGXOYYBGOWGXGYWRGWORXGWOWGYYWXYORORRBBXYBBB;;;
ORWWXBYBRGORBXOBBBGOWGXGYWRGWORXGWOWGYYWXYOGYRRBRXYOYB;;;
ORWOXBRORGGGBXOBBBYWWBXGYWRGWORXGWOWGYYWXYOGYRRBRXYOYB;;;
GGWBXBRORYYGYXOBBBYWWBXGYWRGWORXGWOWGOOWXROGYRRBRXYOYB;;;
GGWWXBYBRYORYXBBBBGOWYXGYWRGWORXGWOWGOOWXROGYRRBRXYOYB;;;
YOWYXBYBRORROXBBBBGOWYXGYWRGWORXGWOWGWGWXGOGYRRBRXYOYB;;;
YOWYXOYGWORROXBBBBGRGYXWYWRRBOBXGWOWGWGWXGOGYRRBRXYOYB;;;
YOWYXOYGWORRRXBOYBGRGYXWYWRRBOBXGWOWGWGWXBOOBRRBGXYYGB;;;
GBWWXOYGWYORYXBOYBGRGYXWYWRRBOBXGWOWGROWXROOBRRBGXYYGB;;;
GBWWXOYGWYORYXGORRGRGYXWBBRRBOBXGWOWGROWXROOBYYBWXYYGB;;;
GWGWXRYGWYORYXGORRGRGYXWBBRRBWBXOWOWOGOBXROOBYYBWXYYGB;;;
GBOWXGYGWYORYXGORRGRGYXWBBRRWGBXRWOWWOOBXROOBYYBWXYYGB;;;
GWGWXRYGWYORYXGORRGRGYXWBBRRBWBXOWOWOGOBXROOBYYBWXYYGB;;;
GWGWXRYWGYORYXGORRGBRYXBBBRWGWRXOWOWOGOBXROOBYYBWXYYGB;;;
GWGBXRGYGYWYYXWORRRGROXBBBRWGWRXOWOWOGOBXROOBYYBWXYYGB;;;
GWGBXGGBRYWYYXWORRRRWOXGBBRGYWRXOWOWOGOBXROOBYYBWXYYGB;;;
GWGBXGGBRYWYOXWBRRRRWOXGBBRGYWRXOWOWOGOBXGOWYYYBYXYORB;;;
GWGBXGGBRYWYOXWBRRRRWOXGBBRGYWRXYWRBOGOOXGWOYYYBYXWOBO;;;
GWGBXGGBRYWYOXBBOBRRWYXGYYRGYWRXYWRBOGOOXGWOYRRBWXWOBO;;;
GWGBXGYWRYYROXRBOBGBWBXGYYRGYWRXYWRBOGOOXGWOYRRBWXWOBO;;;
GWGBXGYWRYYROXRYGBGBWBXGYYRGYWRXYWRBOGOOXBWWORRBOXWBOO;;;
GWGBXGYWRYYROXRYGBGBWBXGYYRGYWRXWWOWOGOOXBOWORRBOXYBRB;;;
GWGRXGRYRYBGOXBYGBYBWWXGYYRGYWRXWWOWOGOOXBOWORRBOXYBRB;;;
GWGRXGRYRYBGWXBOBBYBWWXGYYRGYWRXWWOWOGOOXROOBRRBOXYYGB;;;
ORGGXGRYRGWGRXBOBBYBWWXGYYRGYWRXWWOWOWYOXBOOBRRBOXYYGB;;;
ORGGXGRYRGWGRXYOWYYBWRXGRORGYWRXWWOWOWYOXBOOBBBBBXYYGB;;;
ORGGXGRYRGWGRXYOWYYBWRXBRYBGYWOXWRGWOWYOXBOOBBOWBXRYGB;;;
ORGBXGYRRGYRRXGOWYGYWWXBRYBGYWOXWRGWOWYOXBOOBBOWBXRYGB;;;
OYWBXWYRRGYRRXGOWYGYWWXBRYBGOOOXWRGWGGYRXBOOBBOWBXRYGB;;;
OYWBXWYRRGYRRXGOWYGYWWXORRWGOOYXWBBWGGYRXBOOBBGRBXOYGB;;;
OYWBXWYRRGYRBXGYGYGYWWXORRWGOOYXWBBWGGYRXWOROBGROXOBBB;;;
OYWBXWYRRGYRBXGYGYGYWWXBRYBGOOOXWRGWGGYRXWOROBOWOXRBBB;;;
OOOBXWYRRGYRBXGYGYGYWWXBRYBGRGOXGRGWWWYYXWOROBOWOXRBBB;;;
OYWBXWYRRGYRBXGYGYGYWWXBRYBGOOOXWRGWGGYRXWOROBOWOXRBBB;;;
OYWBXOYOGGYRBXGYGYGWRWXRRYBWBOYXWRGWGGYRXWOROBOWOXRBBB;;;
OBOBXWYOGGYRBXGYGYGWRWXRRYBWRGYXGRGWWOYYXWOROBOWOXRBBB;;;
ORGBXGYOGGYRBXGYGYGWRWXRRYBWYWYXORGWOWYBXWOROBOWOXRBBB;;;
ORGBXWYRRGYRBXGYGYGYWWXYRYBGOWGXORGWOWYBXWOROBOWOXRBBB;;;
ORGBXGYOGGYRBXGYGYGWRWXRRYBWYWYXORGWOWYBXWOROBOWOXRBBB;;;
ORGWXGGWGGOYBXBYGYRGRYXRRYBWYWYXORGWOWYBXWOROBOWOXRBBB;;;
ORGBXGYOGGYRBXGYGYGWRWXRRYBWYWYXORGWOWYBXWOROBOWOXRBBB;;;
GYGBXGYOGYWRWXGYGYGWRWXRRYBWYWYXORGWOBOBXROROBOWOXRBBB;;;
ORGBXGYOGGYRBXGYGYGWRWXRRYBWYWYXORGWOWYBXWOROBOWOXRBBB;;;
ORGBXYYYWGYRBXGYGYGGGWXORYBRRWWXORGWOWYBXWOROBOWOXRBBB;;;
ORGBXYYYWGYRBXOYOBGGGGXOYGBRRWWXORGWOWYBXWORORWWYXRBBB;;;
YWGWXYYYWORRBXOYOBGGGGXOYGBRRWWXORGWOBGBXYORORWWYXRBBB;;;
YWGOXYRRWOGGBXGYOBYWGYXOYGBRRWWXORGWOBGBXYORORWWYXRBBB;;;
YWGOXYRRWOGGYXGBBBYWGYXOYGBRRWWXORGWOBGBXOOBYRWWRXROYB;;;
YWGOXYRRWOGGYXRBWRYWGBXOBGBRRWWXORGWOBGBXOOBYYYWGXROYB;;;
YWGOXYRRWOGGYXRBWRYWGBXOBGBRRWWXRRYBOBGGXOWOYYYWGXBOBO;;;
YWGOXWROGOGGYXRBWRYWRBXRBGBWRWYXRRYBOBGGXOWOYYYWGXBOBO;;;
GOGBXWROGYWGOXRBWRYWRBXRBGBWRWYXRRYBOYOGXGWOYYYWGXBOBO;;;
GOGBXWROGYWGOXRBWRYWRBXRBGBWRWYXORGWOYOBXGOBYYYWGXROYB;;;
GOGBXWROGYWGOXRBWRYWRBXRBGBWRWYXBRBOOYOYXGBRYYYWGXOOGW;;;
GOGBXWROGYWGOXGBYYYWRWXRRRBWRWYXBRBOOYOYXGBRYBBWGXOOGW;;;
GOGBXWROGYWGOXGBBBYWRYXRYGBWRWYXBRBOOYOYXGBRYRWWRXOOGW;;;
GOGBXWROGYWGOXGBBBYWRYXWYOWWRWGXBBROOYOYXGBRYRBRRXYOGW;;;
GOGBXWROGYWGOXGBBBYWRYXBYYRWRWOXBWWOOYOYXGBRYRRBRXGOGW;;;
GOGBXWROGYWGRXGOGBYWRYXBYYRWRWOXBWWOOYOYXBBOBRRBRXGYGW;;;
OBGYXWROGGOGBXGOGBYWRYXBYYRWRWOXBWWOORYYXWBOBRRBRXGYGW;;;
YWGRXWROGOBGYXGOGBYWRYXBYYRWRWOXBWWOOBGYXOBOBRRBRXGYGW;;;
GOGBXWROGYWGRXGOGBYWRYXBYYRWRWOXBWWOOYOYXBBOBRRBRXGYGW;;;
OBGYXWROGGOGBXGOGBYWRYXBYYRWRWOXBWWOORYYXWBOBRRBRXGYGW;;;
OBGYXWROGGOGBXGOGBYWRYXBYYRWRWOXGWGWORYWXWOBBRRBRXOYYB;;;
OBGYXWROGGOGBXGOGBYWRYXGYOWWRWOXGBRWORYWXWOBBRBRRXYYYB;;;
OBGYXWRGRGOGBXGOGBYOWYXRYOWGOWWXGBRWORYWXWOBBRBRRXYYYB;;;
OBGYXWRGRGOGBXGBWBYOWYXRYOWGOWWXGBRWORYWXYORYRBRBXYOGB;;;
OBGYXWRGRGOGBXOBYYYOWBXRRBWGOWWXGBRWORYWXYORYBWRGXYOGB;;;
OBGYXWRGRGOGRXOYYYYOWBXRRBWGOWWXGBRWORYWXGOGOBWRBXYBYB;;;
OOWYXGRGRGOGRXOYYYYOWBXRRBWGWOWXRBRWGWYBXGOGOBWRBXYBYB;;;
OOWYXGRGRGOGGXOOGYYOWBXRRBWGWOWXRBRWGWYBXYOBBBWRRXYYYB;;;
OOWYXWRWGGOGGXOOGYYGRBXGRBWWROOXRBRWGWYBXYOBBBWRRXYYYB;;;
OOWYXORRWGOGGXOOGYYWGBXWRBWRGOGXRBRWGWYBXYOBBBWRRXYYYB;;;
OOWYXORRWGOGBXOBYYYWGBXWRBWRGOGXRBRWGWYBXYORYBWRGXYOGB;;;
OOWYXGRGRGOGBXOBYYYOWBXRRBWGWOWXRBRWGWYBXYORYBWRGXYOGB;;;
OBGYXWRGRGOGBXOBYYYOWBXRRBWGOWWXGBRWORYWXYORYBWRGXYOGB;;;
OBGYXWRGRGOGBXOBYYYOWBXWRYRGOWBXGWRWORYWXYORYBRBGXWOGB;;;
OBGYXWRGRGOGBXYBBRYOWRXWBGRGOWBXGWRWORYWXYORYYYBOXWOGB;;;
GOGBXWRGRYYGRXYBBRYOWRXWBGRGOWBXGWRWOYOWXBORYYYBOXWOGB;;;
GOGBXWRGRYYGRXOBYYYOWBXWRYRGOWBXGWRWOYOWXBORYBRBGXWOGB;;;
GOGBXORWWYYGRXOBYYYBGBXORYRRGWWXGWRWOYOWXBORYBRBGXWOGB;;;
GOGBXORWWYYGRXOYBYYBGBXORYRRGWWXGWRWOYOWXGOGOBRBRXWBYB;;;
GOGBXORWWYYGRXOYBYYBGBXRRWWRGWWXGBRWOYOWXGOGOBORRXYBYB;;;
GOGBXWRGRYYGRXOYBYYOWBXWRWWGRWBXGBRWOYOWXGOGOBORRXYBYB;;;
GOGBXBRRGYYGRXOYBYYWRBXGRWWWWWOXGBRWOYOWXGOGOBORRXYBYB;;;
GWOBXYRRGYYGRXOYBYYWRBXGRWWWOGOXBBRWWGOWXGOGOBORRXYBYB;;;
GWOBXWRGRYYGRXOYBYYOWBXORWWGRGYXBBRWWGOWXGOGOBORRXYBYB;;;
GWOBXWRGRYYGRXRYOBYOWBXOYOWGRGYXBBRWWGOWXGOGORBRWXYBYB;;;
OGOGXWRGRGWGBXRYOBYOWBXOYOWGRGYXBBRWWRYWXYOGORBRWXYBYB;;;
GWOBXWRGRYYGRXRYOBYOWBXOYOWGRGYXBBRWWGOWXGOGORBRWXYBYB;;;
GWOBXWRGRYYGRXWYBRYOWOXOBRWGRGYXBBRWWGOWXGOGOYBROXYBYB;;;
GWOBXWRGRYYGRXWYBRYOWOXBBYRGRGRXBWOWWGOWXGOGOYRBOXYBYB;;;
GWOBXWRGRYYGRXWYBRYOWOXRBYBGRGYXBRBWWGOWXGOGOYOWOXRBYB;;;
GWOBXYRRGYYGRXWYBRYWROXGBYBWRGOXBRBWWGOWXGOGOYOWOXRBYB;;;
GWOBXYRRGYYGOXWBYRYWROXGBYBWRGOXBRBWWGOWXBORYYOWGXROGB;;;
GWOBXYRRGYYGOXWBYRYWROXBBORWRGRXBWOWWGOWXBORYYGBGXYOGB;;;
GWOBXWRBRYYGOXWBYRYRWOXRBORGRGYXBWOWWGOWXBORYYGBGXYOGB;;;
GWOBXRRRWYYGOXWBYRYYGOXRBORRBGWXBWOWWGOWXBORYYGBGXYOGB;;;
GWOBXRRRWYYGOXWBYRYYGOXGBYBRBGOXBRRWWGOWXBORYYOWGXWOGB;;;
GWOWXRGYWYOYOXYBYRRBGRXGBYBRBGOXBRRWWGOWXBORYYOWGXWOGB;;;
GWWWXGGYWYOYOXYBYRRBGRXGBYBRWOOXRRRWGBOBXBORYYOWGXWOGB;;;
GWWWXGGYWYOYOXYBYRRBGRXRBORRWOWXRWOWGBOBXBORYYGBGXYOGB;;;
OBWBXGGYWGWYWXYBYRRBGRXRBORRWOWXRWOWGOYBXOORYYGBGXYOGB;;;
GWWWXGGYWYOYOXYBYRRBGRXRBORRWOWXRWOWGBOBXBORYYGBGXYOGB;;;
GWOWXRGYWYOYOXYBYRRBGRXRBORRBGWXBWOWWGOWXBORYYGBGXYOGB;;;
GWOBXRRRWYYGOXWBYRYYGOXRBORRBGWXBWOWWGOWXBORYYGBGXYOGB;;;
GWOBXRRRWYYGOXWBYRYYGOXRBORRBGWXRWWOWGOGXBBYYYGBGXBOOW;;;
YYOOXRRRWOBGGXWBYRYYGOXRBORRBGWXRWWOWBGGXWBYYYGBGXBOOW;;;
YGWOXBRRWOBGGXWBYRYYGOXRBORRYOWXRWWOGRGBXWBYYYGBGXBOOW;;;
YGWOXBRRWOBGGXWBYRYYGOXGBBBRYOOXRRROGRGBXWBYYYWWGXWOOW;;;
GWWRXBRRWYGGOXWBYRYYGOXGBBBRYOOXRRROGGOBXBBYYYWWGXWOOW;;;
GWWRXYRGGYGGOXWBYRYOROXYBBBWROBXRRROGGOBXBBYYYWWGXWOOW;;;
GWWRXYRGGYGGOXGBWYYORYXYRWBWROBXRRROGGOBXBBYYBOWBXWOOW;;;
GWWRXYRGGYGGOXGBWYYORYXRRBRWROWXRWOOGGOBXBBYYBYBBXWOOW;;;
YGWOXYRGGOBGGXGBWYYORYXRRBRWROWXRWOOGRGBXWBYYBYBBXWOOW;;;
YGWOXYRGGOBGGXGBWYYORYXYRWBWROBXRRROGRGBXWBYYBOWBXWOOW;;;
YGWOXBRRWOBGGXGBWYYYGYXGRWBRYOOXRRROGRGBXWBYYBOWBXWOOW;;;
YGWOXBRRWOBGGXGBWYYYGYXGRWBRYOOXWROWGRGRXWORYBOWBXYOBB;;;
YGWOXBRRWOBGGXGBWYYYGYXGRWBRYOOXRRROGRGBXWBYYBOWBXWOOW;;;
YGWOXBRRWOBGGXGBWYYYGYXGRWBRYOOXWROWGRGRXWORYBOWBXYOBB;;;
YGWOXBRRWOBGGXBBOBYYGWXGYGBRYOOXWROWGRGRXWORYRYWWXYOBB;;;
YGWOXBRRWOBGGXBBOBYYGWXGYGBRYOOXRRROGRGBXWBYYRYWWXWOOW;;;
YGWOXBRRWOBGGXGBWYYYGYXGRWBRYOOXRRROGRGBXWBYYBOWBXWOOW;;;
YGWOXBRRWOBGBXGOOYYYGYXGRWBRYOOXRRROGRGBXWBGBBOWYXWYWW;;;
OBWBXBRRWGWGRXGOOYYYGYXGRWBRYOOXRRROGOYBXGBGBBOWYXWYWW;;;
OBGBXORRWGWGRXGOOYYYGYXGRWBRBWOXBRROORYYXGBGBBOWYXWYWW;;;
OBGBXORRWGWGRXWOYRYYGOXGBYBRBWOXBRROORYYXGBGBYOWGXWYWW;;;
YGGRXORRWOBGBXWOYRYYGOXGBYBRBWOXBRROORGYXWBGBYOWGXWYWW;;;
YYORXRRRWOBGBXWOYRYYGOXGBYBRGGOXORROWBGBXWBGBYOWGXWYWW;;;
YYORXRRRWOBGBXYOOBYYGOXGYGBRGGOXORROWBGBXWBGBRYWWXWYWW;;;
YYORXRRRWOBGBXYOOBYYGOXRYORRGGWXOWYOWBGBXWBGBRGBWXGYWW;;;
YYORXRRRWOBGBXYOOBYYGOXYYWWRGGGXOBGOWBGBXWBGBRRRWXOYWW;;;
YYORXRRRWOBGGXYBWBYYGOXYYWWRGGGXOBGOWBGBXWBWYRRRBXOOOW;;;
YYOYXRYOWORRGXRBWBGYGBXYYWWRGGGXOBGOWBGBXWBWYRRRBXOOOW;;;
YYOYXRYOWORRGXRBWBGYGBXGYGBRGGOXORROWBGBXWBWYRYWBXWOOW;;;
YYOYXRYOWORRGXRBWBGYGBXGYGBRGGOXWROWWBGRXWOOYRYWBXWOBB;;;
YYOYXRYOWORRGXRBWBGYGBXGYGBRGGOXORROWBGBXWBWYRYWBXWOOW;;;
YYOYXRYOWORRGXBBYRGYGWXGBRBRGGOXORROWBGBXWBWYYBWGXWOOW;;;
YYOBXRRRWOWGGXYBYRYYGOXGBRBRGGOXORROWBGBXWBWYYBWGXWOOW;;;
YYOBXRRRWOWGGXGBBYYYGYXGRYBRGGOXORROWBGBXWBWYBOWRXWOOW;;;
YYOBXYRGGOWGGXGBBYYORYXGRYBWRGRXORROWBGBXWBWYBOWRXWOOW;;;
YYOBXYRGGOWGGXGBBYYORYXORWWWRGYXOBGOWBGBXWBWYBRRRXROOW;;;
YYOBXYRGGOWGGXGBBYYORYXGRYBWRGRXORROWBGBXWBWYBOWRXWOOW;;;
YBWBXBRGGOWGGXGBBYYORYXGRYBWYORXYRROGOGRXWBWYBOWRXWOOW;;;
YBWBXBRGGOWGGXGBBYYORYXGRYBWYORXWRRBGOGOXWWWYBOWRXYORO;;;
YBWBXORGROWGGXGBBYYRWYXYRYBGGOBXWRRBGOGOXWWWYBOWRXYORO;;;
YBWRXOYYROGRGXBBBYGGWWXYRYBGGOBXWRRBGOGOXWWWYBOWRXYORO;;;
YBWGXOGWROYYGXRBBYRBWGXYRYBGGOBXWRRBGOGOXWWWYBOWRXYORO;;;
GWWOXOGWRYBYGXRBBYRBWGXYRYBGGOBXWRRBGGOOXYWWYBOWRXYORO;;;
GWWOXOGWRYBYGXYBGRRBWOXYBRBGGOBXWRRBGGOOXYWWYYBWRXYORO;;;
GWWOXBGYWYBYGXYBGRRBGOXGBRBRWOOXWRRBGGOOXYWWYYBWRXYORO;;;
GWWOXBGYWYBYGXRBBYRBGGXGRYBRWOOXWRRBGGOOXYWWYBOWRXYORO;;;
GWWOXBGYWYBYGXRBBYRBGGXORYWRWOYXWBGBGGOOXYWWYBRRRXOORO;;;
