Pos;Cout;Solution;Nombre_noeuds;NbCoups;Temps
YBOBXYGWWOWYOXBBBBRGGYXRYWBROGYXGRGOWRGYXGBWYROWOXRORW;13;;-1;0;1542.434876
GOGWXBRRRYRGRXGYWYYYWYXWROWGYWGXOBOBOWOBXGWROBGRBXYBBO;14;;-1;0;1730.858715
GBGRXRRRRYGGWXBOYBYWWYXWYYRGBWGXBWROOOOWXOBOBROBGXYYGW;15;;-1;0;1609.015077
GRGYXOYBGYRRWXRBWYGORGXWRRBWGWGXGRYBOWOYXOWYYBBWBXBOOO;19;;-1;0;1578.167557
YROWXOGBWOOYGXBORRRRGYXGBYBRBGRXGRWOWWGYXWBOBYOWYXBYGW;13;;-1;0;1558.47795
OBOWXORRGGOGRXGORRYWRYXOBBRWGGYXRWWBWOYBXGWGBYYBYXBYWO;20;;-1;0;1617.502216
GOWGXORWRYWGOXGOOYYBWYXBRWBGGORXRRRBGYOGXBWBBBRWWXYYYO;17;;-1;0;1676.827914
GYOOXOGRRYBYRXBBOBRWWYXBYYBGGGRXBRWOWGOWXGBWYRRWYXGOOW;20;;-1;0;1652.924362
YYGGXRRWWOWGOXWOBBYBGRXRYGBRGWYXWRGWOBGOXBOYBRYWRXOYOB;16;;-1;0;1514.175303
YBORXWRBWOGGOXBYWBYOGYXRYYBROGYXGRRWWRGWXGOGOROWBXWBYB;18;;-1;0;1813.675651
GWWRXBRRGYGGWXGYORYWRYXBBBRWWOOXRWRBGGOBXOWOOYYBYXYBGO;17;;-1;0;1685.976595
GYOGXRRRWYWGWXGBBYYYGYXGRBBRGGOXRROOWBOBXRBWYBWWOXYOOW;17;;-1;0;1806.586992
OROWXBRRWGOGOXROGRYYGBXGBGRRWGRXYWWWWWYOXBOBBYYBOXGYYB;17;;-1;0;1818.102903
GGWOXGRWGYBGYXBOBRYGRWXRBWRWYOWXYWYBGRORXOWOBYOBRXBYGO;17;;-1;0;2063.951908
GWWWXRRGGYRGYXWYYYYOROXRROWWGOYXRBWOGBOBXOBGOBBRBXGBYW;20;;-1;0;1867.900981
GGGOXGGYWYBYYXRBWYRBGGXORGWRWWWXRBOWOOOBXROWYBYRBXYORB;19;;-1;0;1833.621159
OOGWXRGBWGRYGXYOOYROGRXGRGWRBWOXBBYOOWYWXYBRBBWRYXBYGW;19;;-1;0;1739.66017
OBGYXRYOGGRRBXOYWBGWRGXOYWRWGWYXOWWOORYBXYBGORRBGXBBYW;19;;-1;0;1771.0097
GGGGXWRYWYWGYXWOYYYBGOXORORRRWYXRWGBOOOBXRWBBBBBGXRYWO;18;;-1;0;1774.133704
GGOYXBROWYRGYXBYYYYWGWXGRRBRYGOXWRBBWRORXOWGOBBWGXOBWO;20;;-1;0;1646.221601
OWOYXRYBGGORGXWBGBGORRXBYYBWGGRXGRYBWBYWXYWWYRRWOXBOOO;19;;-1;0;1594.471959
GWWYXRYYRYRRBXBBBBGGWWXGYWWGGOOXYBROGGOOXYBRYROROXWOBW;19;;-1;0;1699.192936
YWWRXGGBWOGYBXYBOYRRGOXBRYRRYOOXWWWBGGGRXYWOYBRBWXBOGO;16;;-1;0;1709.330888
GOOGXOYYWYWRBXOBRBGGGBXGYWRRGGRXWWWOWYORXYBRYROBYXBOBW;20;;-1;0;1621.89014
ORWGXBRRWGWGYXROYRYYGBXYBWBRWOBXORGOGWYBXOBOBYOWGXRYGW;14;;-1;0;1643.131137
YOWOXOYYWOBRWXGOYYGGGWXBRYBRGORXBRGBGYGWXOWWBBRWBXRYRO;17;;-1;0;1876.165072
YWWBXYYWROYROXYYYRGBWOXBBWWGROOXWBBWGGGOXGOROYRRGXRBGB;20;;-1;0;1870.650692
GWWGXBYBGYYROXRYWBGRRGXOYWWWYOWXYBGOGGORXBBYORRRBXOBOW;18;;-1;0;1782.711764
GBGYXGYRGYRRGXOBGBGWRGXOYBWWWWWXYBBBOOOOXYWBYRYRRXROWO;20;;-1;0;1754.733862
YROWXRRWROOGGXRYORYBWBXRBBRGGGYXOWGOWWGBXWBGOYYBYXOBYW;14;;-1;0;1804.223094
GWWWXRRYRYRGWXGOOBYBWYXWYYRGBOBXOWGWGGOBXOORBRRBYXOYGB;18;;-1;0;1810.663689
GRWBXWYYGYWROXOOORGGRGXGBBWWOORXGBRBGYOWXBWRBYYRYXWYBO;20;;-1;0;1638.386355
OOGRXWYGRGGRWXRYWBGOWBXYYYRGOWBXOWWOOYYBXRBGORRBBXGBYW;15;;-1;0;1626.180694
OWWRXRRYWGBGOXYORRYGGOXRBBBRGOYXBROOGGYWXBBOBYYWWXWYGW;17;;-1;0;1808.83699
OOWGXORRGGWGBXRBBBYYRGXWYGBWBOBXORROGWYGXYBYYRYWRXWOOW;19;;-1;0;1727.879495
OBOYXWYORGRRBXGOYYGYWWXGRRRGRGOXRWOOWOYBXWBBBBGBGXWYYW;12;;-1;0;1670.184228
OGGYXRRORGRGGXWBGYYYWRXBRGWGBWOXWBYWOOYOXYOBYBWRRXBOWB;20;;-1;0;1818.118556
OOWBXOYYWGYRWXRBWYGGGGXGRRRRBOOXWWRWGYYRXOOGYBBBBXYOWB;20;;-1;0;1916.961727
YYOOXRGRWOBYGXYBGRRWGRXGBBBRBGRXGROOWBGYXWBYYYWWOXWOOW;19;;-1;0;1749.02007
YGOOXGYOGOBRYXRYWYGWRGXYRYBWYGBXRRWOWOGBXOBWOBRWBXGBRW;17;;-1;0;1688.418876
GOWGXORBGYYGOXGBRRYRRWXWBWWWBOBXRBYBGWOGXGWYYYRRYXBOOO;20;;-1;0;1737.790143
OBWOXBGGGGGYRXBBOBRRRYXRYGBWWOYXYRROGOYOXBBGYRYWWXWOWW;19;;-1;0;1758.578287
YYOYXGROGORGRXGBOBYYRYXGYBBWWGOXWRBBWBGRXBWRYRWWWXOOGO;16;;-1;0;1723.755252
OOWOXGYBRGGRGXBYWBGRWYXBYWRGYOOXYWGBGYYRXWWWORRBBXRBOO;14;;-1;0;1704.261222
GRORXGRBGYGGOXYYORYRROXWBWWWYGBXGBYBWYOWXBWOOYRRWXBBGO;15;;-1;0;1847.242409
OWOWXRRRRGOGYXGYRBYYWYXGYOWGGGOXBBBBWBYYXOWGORBRWXRBWO;19;;-1;0;1886.23542
